"date.pretty","date.year","date.mon","date.mday","date.hour","date.min","date.tzname","fog","rain","snow","snowfallm","snowfalli","monthtodatesnowfallm","monthtodatesnowfalli","since1julsnowfallm","since1julsnowfalli","snowdepthm","snowdepthi","hail","thunder","tornado","meantempm","meantempi","meandewptm","meandewpti","meanpressurem","meanpressurei","meanwindspdm","meanwindspdi","meanwdire","meanwdird","meanvism","meanvisi","humidity","maxtempm","maxtempi","mintempm","mintempi","maxhumidity","minhumidity","maxdewptm","maxdewpti","mindewptm","mindewpti","maxpressurem","maxpressurei","minpressurem","minpressurei","maxwspdm","maxwspdi","minwspdm","minwspdi","maxvism","maxvisi","minvism","minvisi","gdegreedays","heatingdegreedays","coolingdegreedays","precipm","precipi","precipsource","heatingdegreedaysnormal","monthtodateheatingdegreedays","monthtodateheatingdegreedaysnormal","since1sepheatingdegreedays","since1sepheatingdegreedaysnormal","since1julheatingdegreedays","since1julheatingdegreedaysnormal","coolingdegreedaysnormal","monthtodatecoolingdegreedays","monthtodatecoolingdegreedaysnormal","since1sepcoolingdegreedays","since1sepcoolingdegreedaysnormal","since1jancoolingdegreedays","since1jancoolingdegreedaysnormal"
"12:00 PM CST on January 01, 2009","2009","01","01","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","-2","29","-8","18","1008","29.77","18","11","","246","16","10","","4","39","-7","19","93","44","-4","25","-11","12","1010","29.83","1005","29.69","37","23","0","0","16","10","16","10","0","36","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on January 02, 2009","2009","01","02","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","-8","17","-13","8","1010","29.83","18","11","","79","16","10","","-4","24","-12","10","79","57","-9","16","-17","1","1013","29.91","1004","29.65","29","18","6","4","16","10","16","10","0","48","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on January 03, 2009","2009","01","03","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","-6","22","-9","16","1006","29.71","26","16","","333","11","7","","1","33","-12","10","100","73","0","32","-16","3","1016","30.02","1000","29.54","55","34","8","5","16","10","1","1","0","44","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on January 04, 2009","2009","01","04","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","-11","12","-20","-4","1028","30.35","26","16","","273","16","10","","-4","24","-18","0","72","39","-15","5","-23","-9","1030","30.42","1023","30.22","39","24","6","4","16","10","16","10","0","53","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on January 05, 2009","2009","01","05","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","-4","25","-14","7","1014","29.94","21","13","","207","16","10","","2","35","-9","15","63","33","-11","12","-17","1","1023","30.21","1004","29.64","37","23","14","9","16","10","16","10","0","40","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on January 06, 2009","2009","01","06","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","-2","28","-10","14","1000","29.53","21","13","","281","16","10","","3","37","-7","19","68","43","-7","19","-13","9","1002","29.58","999","29.49","39","24","10","6","16","10","16","10","0","37","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on January 07, 2009","2009","01","07","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","-7","19","-12","11","1003","29.62","26","16","","323","16","10","","-4","24","-10","14","80","63","-8","18","-14","7","1007","29.75","1001","29.57","40","25","6","4","16","10","16","10","0","46","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on January 08, 2009","2009","01","08","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","-11","12","-15","5","1012","29.89","13","8","","141","16","10","","-6","21","-16","3","85","63","-10","14","-18","0","1015","29.97","1008","29.77","27","17","0","0","16","10","16","10","0","53","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on January 09, 2009","2009","01","09","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","-7","20","-8","17","1013","29.91","19","12","","358","11","7","","-4","24","-8","17","86","69","-7","19","-11","12","1025","30.27","1003","29.61","45","28","8","5","16","10","1","0","0","44","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on January 10, 2009","2009","01","10","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","-11","12","-14","6","1025","30.27","19","12","","267","16","10","","-4","24","-17","1","92","63","-8","18","-21","-6","1028","30.36","1017","30.05","34","21","0","0","16","10","6","4","0","52","0","0.00","0.00","","","","","","","","","","","","","","",""
